iter	Passed	Remaining
627	14756	8740
628	14776	8715
629	14797	8690
630	14818	8665
631	14838	8640
632	14861	8616
633	14885	8593
634	14905	8567
635	14928	8544
636	14950	8519
637	14970	8494
638	14991	8469
639	15013	8445
640	15031	8418
641	15055	8395
642	15082	8374
643	15103	8349
644	15128	8326
645	15147	8300
646	15168	8275
647	15191	8252
648	15215	8228
649	15236	8204
650	15259	8180
651	15279	8155
652	15300	8130
653	15328	8109
654	15350	8085
655	15374	8062
656	15397	8038
657	15429	8019
658	15464	8001
659	15483	7976
660	15527	7963
661	15546	7937
662	15569	7913
663	15594	7891
664	15620	7868
665	15652	7849
666	15671	7824
667	15698	7802
668	15717	7776
669	15745	7755
670	15767	7730
671	15787	7705
672	15807	7680
673	15829	7656
674	15848	7630
675	15873	7608
676	15894	7583
677	15917	7559
678	15943	7537
679	15966	7513
680	15991	7490
681	16009	7464
682	16034	7441
683	16052	7416
684	16074	7391
685	16092	7366
686	16112	7340
687	16133	7316
688	16154	7292
689	16180	7269
690	16201	7244
691	16225	7221
692	16244	7196
693	16266	7172
694	16287	7147
695	16307	7122
696	16328	7098
697	16350	7074
698	16373	7050
699	16396	7026
700	16420	7003
701	16440	6979
702	16461	6954
703	16486	6931
704	16505	6906
705	16528	6883
706	16549	6858
707	16575	6836
708	16593	6810
709	16615	6786
710	16638	6763
711	16658	6738
712	16691	6718
713	16718	6696
714	16742	6673
715	16770	6652
716	16796	6629
717	16814	6604
718	16838	6581
719	16867	6559
720	16887	6534
721	16919	6514
722	16940	6490
723	16962	6466
724	16986	6443
725	17007	6418
726	17032	6395
727	17053	6371
728	17078	6348
729	17097	6323
730	17121	6300
731	17140	6275
732	17166	6253
733	17184	6227
734	17207	6203
735	17226	6179
736	17249	6155
737	17270	6131
738	17292	6107
739	17313	6083
740	17337	6059
741	17356	6035
742	17378	6011
743	17401	5987
744	17421	5963
745	17444	5939
746	17464	5915
747	17488	5891
748	17509	5867
749	17530	5843
750	17550	5819
751	17573	5795
752	17599	5773
753	17620	5748
754	17641	5724
755	17670	5703
756	17695	5680
757	17713	5655
758	17735	5631
759	17755	5607
760	17779	5583
